Temperatura   , dT           , Intensitat   , dI           , Tensió          , dV
19.5960521698 , 0.0449440368 , 5.8153696060 , 0.0049999999 , 4495.7656250000 , 6.0357880592
19.7227745056 , 0.0464861989 , 5.8186926842 , 0.0049999999 , 4500.6899414063 , 5.9054174423
19.6612968445 , 0.0390421823 , 5.8268108368 , 0.0049999999 , 4498.2763671875 , 8.8828372955
19.7572803497 , 0.0468455814 , 5.8250823021 , 0.0049999999 , 4507.8906250000 , 5.8678693771
19.6349487305 , 0.0801181719 , 5.8350038528 , 0.0049999999 , 4501.6748046875 , 7.4796013832
19.5571575165 , 0.0515847728 , 5.8272056580 , 0.0049999999 , 4500.4946289063 , 9.4158926010
19.8231506348 , 0.0470308475 , 5.8253154755 , 0.0049999999 , 4506.2773437500 , 8.7527284622
19.6782341003 , 0.0409068093 , 5.8277654648 , 0.0049999999 , 4500.4648437500 , 8.3775272369
19.6393394470 , 0.0753600523 , 5.8221559525 , 0.0049999999 , 4500.8505859375 , 9.4227657318
19.7221488953 , 0.0431675538 , 5.8150320053 , 0.0049999999 , 4490.9584960938 , 4.9958090782
19.6318111420 , 0.0549376719 , 5.8227839470 , 0.0049999999 , 4498.8662109375 , 5.2019863129
19.6914081573 , 0.0480564274 , 5.8081488609 , 0.0049999999 , 4508.2558593750 , 8.1560630798
19.6543941498 , 0.0554833263 , 5.8012046814 , 0.0049999999 , 4493.9907226563 , 6.7744727135
19.7930374146 , 0.0659960210 , 5.8092408180 , 0.0049999999 , 4510.0151367188 , 8.1384057999
19.7553977966 , 0.0372760408 , 5.7891225815 , 0.0049999999 , 4499.4472656250 , 5.9630460739
19.6575317383 , 0.0428353250 , 5.7811503410 , 0.0049999999 , 4494.0932617188 , 6.4253988266
19.7108554840 , 0.0599132851 , 5.7865519524 , 0.0049999999 , 4506.2861328125 , 6.4747247696
19.6506309509 , 0.0534650646 , 5.7730984688 , 0.0049999999 , 4495.7978515625 , 6.9589400291
19.8093490601 , 0.0361681208 , 5.7753977776 , 0.0049999999 , 4508.5957031250 , 7.2041740417
19.6612968445 , 0.0422513112 , 5.7771010399 , 0.0049999999 , 4501.2890625000 , 8.8587207794
19.6926651001 , 0.0607472435 , 5.7842507362 , 0.0049999999 , 4508.1284179688 , 10.0799179077
19.6456127167 , 0.0632911474 , 5.7768878937 , 0.0049999999 , 4493.4033203125 , 9.1164255142
19.7083473206 , 0.0456842445 , 5.7840590477 , 0.0049999999 , 4506.6655273438 , 8.2601385117
19.7648086548 , 0.0348562971 , 5.7896580696 , 0.0049999999 , 4507.4394531250 , 5.9448781013
19.6600399017 , 0.0540658198 , 5.7904238701 , 0.0049999999 , 4489.3852539063 , 6.0858135223
19.7252864838 , 0.0576358251 , 5.7996597290 , 0.0049999999 , 4507.6811523438 , 8.9963331223
19.7679443359 , 0.0350340456 , 5.7829413414 , 0.0049999999 , 4500.6567382813 , 6.1887078285
19.6362018585 , 0.0370168574 , 5.7732677460 , 0.0049999999 , 4486.9077148438 , 6.7663912773
19.5722141266 , 0.0558793359 , 5.7750620842 , 0.0049999999 , 4491.5532226563 , 8.1339588165
19.6236553192 , 0.0374588892 , 5.7959685326 , 0.0049999999 , 4490.3554687500 , 6.1612682343
19.6732158661 , 0.0444297381 , 5.7921957970 , 0.0049999999 , 4505.9492187500 , 8.8927497864
